#AS59538 & AS202888 UPSTREAM NETWORK LTD Geofeed
#Last Update:20231231
#prefix,country_code,region_code,city,postal
#LHR2
82.152.249.0/24,GB,GB-LND,London,
2a0f:7800:100::/40,GB,GB-LND,London,
2a0f:7800:500::/40,GB,GB-LND,London,
#SEA-US
154.61.160.0/24,US,US-WA,Seattle,
2a0f:7800:a00::/40,US,US-WA,Seattle,
#LAX-US
2a12:3fc2:3000::/36,US,US-CA,Los Angeles,
#CA-ON
154.61.162.0/24,CA,CA-ON,Ontario,
154.61.163.0/24,CA,CA-ON,Ontario,
2a0f:7800:b02::/48,CA,CA-ON,Ontario,
2a0f:7800:b03::/48,CA,CA-ON,Ontario,
#HK
#SJC-US
174.136.238.0/24,US,US-CA,San Jose,
2a12:3fc2:3202::/48,US,US-CA,San Jose,
185.139.35.0/24,US,US-CA,San Jose,
2a0f:7800:800::/40,US,US-CA,San Jose,
#TYO-JP
163.5.92.0/24,JP,JP-13,Tokyo,
2a0f:7800:900::/40,JP,JP-13,Tokyo,
#Customer-trecert
38.75.44.0/24,US,US-CA,San Jose,
154.61.161.0/24,CA,CA-ON,Ontario,
2a0f:7800:b01::/48,CA,CA-ON,Ontario,
#Customer-SparkTech
154.62.162.0/24,US,US-VA,Ashburn,
154.62.163.0/24,US,US-VA,Ashburn,
154.62.180.0/24,GB,GB-LND,London,
154.62.172.0/24,US,US-VA,Ashburn,
154.62.173.0/24,US,US-VA,Ashburn,
38.75.45.0/24,US,US-CA,San Jose,
38.75.46.0/24,US,US-CA,San Jose,
38.75.47.0/24,US,US-CA,San Jose,
